,Turn,Text,True,Pred,Don_true,Don_pred
108,0,"doing well, thanks! This is a great kit for you then, it's a blast having this thing hooked up, no more peddling up hills!",0,0,0,0.39793860912323
109,0,I only have $100 available. I could throw a great bottle of scotch into the deal. Interested?,5,0,0,0.3539672791957855
110,0,"you've got my attention, what kind of scotch?",1,1,0,0.771468460559845
111,0,Johnny Walker Black,0,0,0,0.4988894760608673
112,0,"Thats pretty close to what I'm asking for this, can you come get it to save me $ on shipping?",5,0,0,0.3784743845462799
113,0,Do you live near me? I live in Boca Raton.,1,0,0,0.37065809965133667
114,0,"yeah, about 30 minutes away, do we have a deal, hundo bucks and unopened bottle of JWB?",0,0,0,0.34776806831359863
115,0,Deal. Ill put the offer in the submit box. Send me your address,0,0,0,0.36984407901763916
116,0,Hello there.. i was looking for some more info on the truck you have for sale please,1,0,1,0.26950696110725403
117,0,Sure I can give you any info you like. For starts it was well taken care of and we have never really had any major problems with it. It also recently had new tires put on. What else would you like to know?,0,0,1,0.3275925815105438
118,0,Has it got any dings been in any accidents?,2,2,1,0.3386014401912689
119,0,"Never been in any accidents and it has no dents, dings or scratches.",0,0,1,0.3406798541545868
120,0,No rust?,2,2,1,0.3415384888648987
121,0,"none, it is in great condition.",0,0,1,0.3412691354751587
122,0,Would you take $4800 for it?,3,3,1,0.34185248613357544
123,0,$4800 is too low for me. It is pretty low miles for a great work truck like this. I can go down to $6000.,4,4,1,0.7918162941932678
124,0,hmm thats still a little much for me how about we meet in the middle and $5500,3,3,1,0.4490487575531006
125,0,As long as you can meet me at my place then $5500 is acceptable to me.,5,5,1,0.5196947455406189
126,0,I can do that!!,0,0,1,0.8196163773536682
127,0,"Hello, are you looking to rent out this Apartment?",0,0,0,0.3056306540966034
128,0,Hello! Appears to be a lovely apartment.,0,0,0,0.3740374445915222
129,0,"We are currently renting these out after renovation. It is a two bedroom, one bath apartment with a brand new kitchen and stainless steal appliances.",0,0,0,0.35545021295547485
130,0,Are they ready for move in at this time?,1,1,0,0.34427502751350403
131,0,Whenever! These are available now for a one year lease. Rent is due at the price of $2200. How does that sound to you?,0,0,0,0.34172752499580383
132,0,A bit higher than I expect for the neighborhood. Crime database shows there's been an increase in home robberies the past year.,4,2,0,0.6879193782806396
133,0,"That is understandable, but we do have other people making offers for this space. The lowest I will go is $1850 a month.",6,0,0,0.4230044484138489
134,0,I can lease for about $1600 a month.,3,3,0,0.3596816062927246
135,0,$1725 a month and you have a deal!,3,6,0,0.6917608380317688
136,0,"After considering the costs of utilioties, and security deposit, the absolute maximum I can afford is $1672.",4,4,0,0.42360544204711914
137,0,Deal!,0,0,0,0.6697539687156677
138,0,"Hello, are you interested in the end tables?",0,0,1,0.289551317691803
139,0,Yes very! Can you give me some details on it?,1,0,1,0.32964280247688293
140,0,"2 hexagon tables 27"" at the widest (corner to corner) and 19"" tall oak wood, no stains and from non-smoking home",0,0,1,0.3386172354221344
141,0,Sounds awesome! How much are you willing to sell it for?,0,0,1,0.3405745327472687
142,0,I really wanted to ask 80 a piece since they are in excellent condition but today is your lucky day!  150 takes both of them.,0,0,1,0.341069757938385
143,0,I am will to pay 120 for both as I am on a tight budget!,7,7,1,0.4019545912742615
144,0,"I understand budget constraints but these are oak tables, no stains and excellent condition.  140 and I'll deliver them",5,4,1,0.8022935390472412
145,0,Ill pay $135 and you have a deal!,3,6,1,0.7529613971710205
146,0,ok I'll accept 135 but you will have to pick them up.  deal?,5,5,1,0.5036409497261047
147,0,Deal!,0,0,1,0.8179287910461426
148,0,I take it your interested in the cargo van?,0,0,0,0.26924318075180054
149,0,"Yes, however the price seems a bit high. Are you willing to negotiate?",3,3,0,0.3454899191856384
150,0,I can a little but it is great condition and low miles so it is already a great deal.,4,4,0,0.7453594207763672
151,0,"I would be willing to offer you $2,500",3,3,0,0.43705910444259644
152,0,I can't go that low. I'll keep it for a back up at that price. I can do $3900,6,6,0,0.3843540847301483
153,0,"I would come up to $2,750",3,3,0,0.7649755477905273
154,0,Sorry that is just way to low.,6,3,0,0.5170769095420837
155,0,"My last and final offer would be $3,000. That is more than fair for a vehicle that is almost 15 years old.",4,4,0,0.38192421197891235
156,0,It is a one owner and I have all the maintenance records. I could go $3800,4,4,0,0.3502312898635864
157,0,"3,000 is my final offer",6,6,0,0.7462582588195801
158,0,I can't go that low. Sorry,3,3,0,0.44194260239601135
159,0,"Hi there, can you give me some more info about the bike you have for sale please",1,1,0,0.26895222067832947
160,0,"Sure, I has a really comfortable and adjustable seat. It's a couple of years old but there is hardly any wear.",0,0,0,0.3251662850379944
161,0,has it been kept inside?,1,2,0,0.34124240279197693
162,0,"Yes, I store it in my garage to keep it out of the elements.",0,0,0,0.34122511744499207
163,0,So there is no rust on it?,2,2,0,0.37033677101135254
164,0,"Nope, It was repainted recently. It looks like new. I'm selling it for $1300. Are you interested?",0,0,0,0.34759587049484253
165,0,"i am very interested i was wondering $1300 is a little high for me, does it come with any accessories?",5,3,0,0.7932567596435547
166,0,I can throw in a helmet and some knee pads. I also have riding gloves. They're pink if that's okay with you.,0,5,0,0.44901856780052185
167,0,That would be great would you take $800 for everything?,3,3,0,0.3696053922176361
168,0,That's really low for such a great bike. How about $1000?,4,3,0,0.7968430519104004
169,0,Can we meet in the middle and say $900?,3,3,0,0.4812201261520386
170,0,Okay. That'll work. $900 it is.,0,0,0,0.8143146634101868
171,0,What all does the phone already have on it?,1,1,0,0.32396459579467773
172,0,The phone is completely erased with no leftover data from the previous user.,0,0,0,0.3564387559890747
173,0,I was hoping for music or something. Do you have the manual>,1,1,0,0.4063265323638916
174,0,"There is a manual and there is iTunes leftover credit for $12, so you can buy some music with that.",0,0,0,0.35900798439979553
175,0,Is the screen like new?,2,1,0,0.40694642066955566
176,0,"Yes! No scratches. It currently has a screen protector on it, which you can chose to keep on or take off.",0,0,0,0.3566422462463379
177,0,I could offer $230.00,3,3,0,0.34705427289009094
178,0,I would sell for $300.,3,0,0,0.4040645956993103
179,0,$250?,3,3,0,0.3589867949485779
180,0,$280 with headphones.,5,5,0,0.3891086280345917
181,0,I could do $255 with the headphones.,5,5,0,0.390789270401001
182,0,I would do $265 without the headphones or $280 with headphones.,3,5,0,0.4026389718055725
183,0,I'll meet you half way at $260 with the headphones.,3,5,0,0.4018661677837372
184,0,Sure.,0,0,0,0.8022438287734985
185,0,What is the lowest price you are willing to accept?,0,0,0,0.3714001476764679
186,0,How old is this sofa,1,1,0,0.34807658195495605
187,0,"I don't remember exactly, but I think I bought it about 5 years ago.",0,0,0,0.34376606345176697
188,0,What is the color?,1,1,0,0.341616690158844
189,0,It's light grey... In a dark room it looks as if it's almost white.,0,0,0,0.3421561121940613
190,0,Okay. In your ad you stated you had it only for a year but now you say you think you bought it about 5 years ago. Which is correct?,2,2,0,0.341470330953598
191,0,"Originally I had bought it for my son for his apartment. However, he's got married and I needed a new sofa for my man cave. So he gave it to me. My wife wants to turn my man cave into a sewing room so I have to sell it.",0,0,0,0.3411788046360016
192,0,"Okay so it has been used by two different people then? I am interested in the sofa, however, the price you are asking is a bit steep for a sofa that is 5 years old and used by two different people. Are you willing to negotiate on the price?",4,4,0,0.34100469946861267
193,0,Understood... How about if I lower it to $300 and I'll even deliver it to you myself.,5,5,0,0.34122803807258606
194,0,"If you could go to $200, I would come and get it today with cash in hand.",5,5,0,0.3412710130214691
195,0,That's a little lower than I wanted to get for it. How about $260 and I'll deliver it.,5,5,0,0.3412872850894928
196,0,Can you do $220 with me picking it up? It is 5 years old.,5,5,0,0.34123313426971436
197,0,Deal.,0,0,0,0.7256581783294678
198,0,"Hi, you're interested in the Cx-9?",0,0,1,0.26894164085388184
199,0,"Yes, I am. Has it been in any accidents?",2,2,1,0.3266426622867584
200,0,"It's been in a couple minor accidents, but I can assure you that it only resulted in cosmetic damage. I still have the recipts from the body shop to show what was replaced.",0,0,1,0.3385870158672333
201,0,"Well the interior looks nice from the picture but what color is it? Also, did you smoke in it?",2,2,1,0.3421418070793152
202,0,It's a light silver color. Smoke has never entered this beauty.,0,0,1,0.34142613410949707
203,0,"I agree, it is a beauty but it does have a lot of miles and is over 10 years old so $8800 is too much for me. How would you feel about $6500?",4,4,1,0.3713235855102539
204,0,"I have another buyer willing to pay $7000 at the moment. If you could beat that price, we may have a deal.",4,3,1,0.3495478332042694
205,0,I'm going to pull a price is right move. Would you take $7001 in cash today?,5,5,1,0.3569968640804291
206,0,"I was hoping to at least hit the $7500 mark, but that move was witty enough for me to agree to it! You made my day, honestly.",0,0,1,0.37496569752693176
207,0,Awesome. It's a deal.,0,0,1,0.39912089705467224
208,0,make an offer,0,0,0,0.2699885666370392
209,0,100,3,0,0,0.3263606131076813
210,0,ok... that's lower than i want. remember this bed doesn't need a box srping because of the frame. it's a neat bed. hard to find a bed like that,4,4,0,0.790008544921875
211,0,95,3,3,0,0.44900986552238464
212,0,that's not really the direction you should be going. i've listed it for 150 which is already a steal.,4,4,0,0.8069555759429932
213,0,"sorry bout that, my finger slipped",0,3,0,0.8588259220123291
214,0,"no problem. at 150, it's already a steal. rare hard to find bed like this? for 150? good deal, man",4,4,0,0.8649986386299133
215,0,"ya, i meant 105 for your trouble. sorry bout that. you're right...it's a great deal at 105",3,6,0,0.46762484312057495
216,0,"105 is still too low, i say we go with 125 split the difference",3,6,0,0.37120386958122253
217,0,"in accidently put the 0 in front of the 5. But ya, I can do 125 if there is something extra you can offer. Can you meet that?",5,5,0,0.6407521367073059
218,0,ok i can deliver it for you at 125,5,0,0,0.8350832462310791
219,0,120 and free delivery and you have a deal,6,6,0,0.8622018694877625
220,0,that doesn't work.,6,0,0,0.744526207447052
221,0,"Hi so I'm interested in buying the bedroom set, are there any scratches?",2,2,0,0.2826747000217438
222,0,"No scratches, it's in very good condition",0,0,0,0.32804012298583984
223,0,"Great, how much can you reasonably come down to?",0,3,0,0.3413548767566681
224,0,Well the item is listed for $350 how much are you looking to spend,3,0,0,0.3443547487258911
225,0,"Well a new bedroom set like this I could probably buy from the store for $500, so I'd have to say since it's used it needs to be in the 150 price range.",4,4,0,0.7873821258544922
226,0,"Last time I was in the store, a whole bedroom set which included the bed, dresser and two night stands was on sale for $1500 brand new.  I can go as low as 275.00",4,4,0,0.8522356748580933
227,0,"I still can't do that, look if you deliver it I can literally go down to $240 no lower.",5,5,0,0.8602175712585449
228,0,I can do $240 as long as you're in a 15-mile radius.,5,5,0,0.5675903558731079
229,0,I can be there in an hour.,0,0,0,0.8223649263381958
230,0,you need to accept the $240 offer,0,0,0,0.7743312120437622
231,0,Does it offer bluetooth?,1,1,0,0.2689467668533325
232,0,It doesn't i'm sorry,0,0,0,0.5163418650627136
233,0,Well that will effect my final price...is it a 2-way speaker?,1,1,0,0.5775651335716248
234,0,I'm not sure what you mean by 2-way,0,0,0,0.44569191336631775
235,0,It just is something about the sound resonation I think I really do not know the specifics I just know you shpuld make sure any speakers you buy are two way.,1,2,0,0.36489781737327576
236,0,Sine I don't know that I will be able to lower the price for you if that helps.,0,3,0,0.3464043438434601
237,0,Yes it would...can you tell me what btu it pushes?,1,1,0,0.3421858549118042
238,0,Again I'm not sure. This is my sons so I don't know much about it except that he asked if I could sell if for him.,0,0,0,0.3412368893623352
239,0,Ok I am going to submit my offer for the speaker directly.,6,0,0,0.35359543561935425
240,0,Okay that's good,0,0,0,0.3462051749229431
241,0,"Hi, can I have pets?",1,1,0,0.26894402503967285
242,0,Does cable come wih it?,1,1,0,0.3249659538269043
243,0,"No but water, trash, gas and two side by side underground parking spaces near the elevator are just a few of the amenities the place has to offer.",0,0,0,0.34458303451538086
244,0,Would I be able to have a pitbull?,1,0,0,0.3417728841304779
245,0,Does it have all its shots? Is it neutered or spayed?,1,1,0,0.3411409556865692
246,0,"It has all its shots. I was thinking I will offer $1924,but I am flexible to go higher.",3,0,0,0.34494373202323914
247,0,I am sorry I can not let it go for that low...not taking into account a 60lbs dog as well.,4,4,0,0.748115062713623
248,0,Make me an offer,3,0,0,0.442630797624588
249,0,See final offer directly...,6,6,0,0.36607715487480164
250,0,Sounds good. When can I sign the lease?,0,1,0,0.7520765066146851
251,0,"Hi, you're selling a FitBit Flex and bands?",0,0,1,0.27813369035720825
252,0,Yes I still have them!,0,0,1,0.5482931137084961
253,0,"Excellent, what kinds of bands are they?",1,0,1,0.3892797827720642
254,0,"It comes with the original black band, a blue band and a red band.",0,0,1,0.3872305154800415
255,0,"Oh cool, 3 bands. That's good. I can offer you 40 dollars, what do you think?",3,3,1,0.35202500224113464
256,0,The lowest I can go is $50 if you come and pick them up with cash.,5,5,1,0.35668811202049255
257,0,"Your ad doesn't mention a charger, do you have one?",1,0,1,0.5176854133605957
258,0,Yes it comes with the charger and original box.,0,0,1,0.4181082546710968
259,0,"Hmmmm. If I come pick them up, how about 45?",5,5,1,0.3588116765022278
260,0,"Ok, that's fair.",0,0,1,0.7712514400482178
261,0,Hi are your chairs still available?,0,0,0,0.26998141407966614
262,0,Yes I'm still selling the chairs.,0,0,0,0.3263510763645172
263,0,Great what kind of shape are they in?  It is hard to tell from the picture. And how old are they?,2,1,0,0.3879207670688629
264,0,They are only a couple years old and they are in great condition still they haven't seen much use and there is no visible wear and tear.,0,0,0,0.3527904152870178
265,0,So I just moved to the area and really need Would you be willing to help me out on the price?,0,4,0,0.3436205983161926
266,0,I can work with you on the price a little. Make me an offer,0,3,0,0.3433268964290619
267,0,My limit is really only $50 a piece.  I would like them both but I really only need one.,3,7,0,0.3892945647239685
268,0,I can come down to 220 but you have to get both of them.,5,3,0,0.40295347571372986
269,0,There is no way that I can go that high.  I only have 200 to my name until next week.  I can do 150 for both.  I really need these because I don't have any furniture at all and these would be perfect.,7,7,0,0.4035604000091553
270,0,If you only want one I can sell you one for $130,3,0,0,0.40370649099349976
271,0,Hello there. Do you still have the dresser?,0,0,1,0.4024278223514557
272,0,Sure do.  Is $400 okay?,0,3,1,0.3888043165206909
273,0,Well how is the condition?,1,2,1,0.4983612596988678
274,0,"Excellent, just like the posting says.",0,0,1,0.3791520893573761
275,0,The listing doesn't say the condition but okay great. What kind of wood is it made from?,2,2,1,0.49594834446907043
276,0,"The listing says it's in excellent shape, and also that it's made from teak. Do you want the dresser or not?",0,0,1,0.3766615390777588
277,0,400 is too high for me. How about 300?,3,3,1,0.3491164743900299
278,0,"I can do $375, and that's if you take care of the ring on top of it that I mentioned.",3,5,1,0.7362159490585327
279,0,350 and we have a deal.,6,6,1,0.5843986868858337
280,0,Sounds good.,0,0,1,0.7793134450912476
281,0,"Hello, I am interested in buying your product.",0,0,0,0.3705715239048004
282,0,Great!,0,0,0,0.624809205532074
283,0,Will you describe your product to me?,1,0,0,0.40750834345817566
284,0,"Sure. It's Fender Champion amplifier. Aside from some slight rust on the corners, it's in great condition.",0,0,0,0.3585014045238495
285,0,"That's good, how long have you had it?",1,1,0,0.34865036606788635
286,0,"A couple years, I used it for practice and it has treated me well.",0,0,0,0.34543681144714355
287,0,That's great. Do you think you could go a little lower on the price?,0,3,0,0.3421679735183716
288,0,"I can work with you a little, but I'm hoping to put the money towards some new equipment. I'm willing to knock $5 off if you're willing to pay in cash.",5,5,0,0.3449503779411316
289,0,Could you do $35 and I will pay in cash.,5,5,0,0.34978020191192627
290,0,"That's too low, but if you're willing to come get it as well, I can do $37.50.",5,5,0,0.35007166862487793
291,0,That sounds fair,0,0,0,0.7329881191253662
292,0,Great.,0,0,0,0.8230539560317993
293,0,"Wow, this all looks really nice!",0,0,0,0.4874183237552643
294,0,"Hey there! I am glad you think so. I did too, but now we no longer need these so hopefully you can find some good use.",0,0,0,0.3749684989452362
295,0,"Wow, great! That must be you are going to give me a great deal!",0,0,0,0.4732029139995575
296,0,For sure I can offer you all these chairs at a great low price of 950.00,0,3,0,0.3745350241661072
297,0,"Wow, thats steep still! I can pay cash right now for 450",5,0,0,0.3485897183418274
298,0,"I understand, these are high quality business chairs. Production is guaranteed! I will not only offer you them at 950 I can throw in an additional 2 more chairs.",5,5,0,0.3428981304168701
299,0,"Thats great, but I do not need any more. How about 500 for whats listed?",3,3,0,0.3593392074108124
300,0,I think at this point if I would go any lower it would most likely be 800.00 which is a steal in all honesty.,3,3,0,0.3453242778778076
301,0,That is still a lot. I think we cannot agree. It's been a pleasure though.,6,0,0,0.35400819778442383
302,0,I agree. You have a nice day!,0,0,0,0.49054524302482605
303,0,How can I assist you with my one bedroom apartment that is for rent?,0,1,1,0.26930174231529236
304,0,Hi can you tell me more about the apartment,0,0,1,0.32510611414909363
305,0,Absolutely! This is a beautiful apartment. It is located in the heart of Richmond with walking distance to Bart.,0,0,1,0.7474585771560669
306,0,Is the parking covered?,1,1,1,0.43722784519195557
307,0,Yes it is!,0,0,1,0.40868499875068665
308,0,"I am on a bit of a budget, and am trying to stick close to $1400",3,3,1,0.8020413517951965
309,0,"With this beautiful apartment, I can't go that low. I am very sorry. However, I would like to point out that this is a very contemporary place to live.",4,4,1,0.8572283983230591
310,0,Would you be able to do $1480?,3,3,1,0.5067635178565979
311,0,I would feel comfortable coming down to $1550. How does that sound to you? This place has new air conditioning for these hot months and furnace to keep you warm in the winter.,4,4,1,0.8185665607452393
312,0,$1550 is too high. I am willing to sign a 3 year lease at 1500,5,5,1,0.48675069212913513
313,0,That is very tempting but I would feel much better at $1550.,3,3,1,0.4146639108657837
314,0,You can't be a little flexible?,2,3,1,0.8029888868331909
315,0,I could come down to $1525,3,3,1,0.4934868812561035
316,0,1515?,3,3,1,0.41663891077041626
317,0,$1515 with a three year lease?,0,5,1,0.8033011555671692
318,0,yes,0,0,1,0.8585383892059326
319,0,Hello I am interested in your listing,0,0,0,0.3243224620819092
320,0,"this is an antique vanity. its gorgeous. I have to move, so have to get rid of it. i'm asking $650",0,2,0,0.33768904209136963
321,0,"It looks nice in the photo, however I am concerned that there seems to be some damage to the finish...",2,0,0,0.3402745723724365
322,0,"there is a little damage, but it can easily be refinished. I'm willing to drop the price to $600 so that you can cover the cost of the repairs",5,4,0,0.340802937746048
323,0,"Refinishing is quite expensive, i'm not sure that would cover it. I was thinking more along the lines of about $450",4,4,0,0.34092098474502563
324,0,"I'll arrange to have it refinished, and pay for that out of pocket, if you agree to $600 purchase price",5,5,0,0.341411292552948
325,0,That seems overly complicated. I'd rather get the refinishing done myself and not have to put out so much cost upfront.,4,4,0,0.3410594165325165
326,0,"in that case, best I can do is $550. take it or leave it",6,6,0,0.39111262559890747
327,0,"You seem kind of rude, so I'd rather not. Thanks anyway.",2,0,0,0.352761447429657
328,0,"I appreciate the offer, but no thanks.",0,6,0,0.3457987904548645
329,0,"Hello, I am interested in this iphone and wanted to know about your acceptable price.",0,0,0,0.27234387397766113
330,0,"I have it listed as 95 firm, and feel that's more than a fair price.",6,0,0,0.32575786113739014
331,0,I thought of a budget upto $50. Further got attracted by this iphone.,3,3,0,0.33898305892944336
332,0,No.  I'm sorry there is no way I can take 50 for it.,6,6,0,0.3419528007507324
333,0,can you elaborate the other features this iphone has..?,1,1,0,0.3412281274795532
334,0,"You do see, correct that these are two phones?  One is iphone 5 and other 4.  What specific features are you looking for?  They are iphones, so do pretty much everything.",0,0,0,0.3410652279853821
335,0,are you sure that the physical damage is a minor one..? whether it will affect the performance?,1,2,0,0.5078743696212769
336,0,It has not seemed to affect performance.  And only the 5 has some physical damage.,0,0,0,0.379558801651001
337,0,okay. shall we make it for $60. I will adjust my budget somehow..,7,7,0,0.3497313857078552
338,0,No.  I can't go that low.,6,6,0,0.3479122817516327
339,0,how much can you come down from $95?,0,3,0,0.36153340339660645
340,0,I cannot and will not go lower than 85,6,6,0,0.750799298286438
341,0,Let it be for both of us to down & up. Finalize for $65.,3,3,0,0.6081698536872864
342,0,I won't go lower than 85.  Sorry,6,6,0,0.7735092639923096
343,0,"Last deal for $70, because I like these iphones very much.",3,0,0,0.48172274231910706
344,0,70 will not work for me,6,6,0,0.7321277260780334
345,0,Okay. Then I'll have to quit and look for some other phones.,6,0,0,0.4338974952697754
346,0,"I understand.  I am willing to  go half way between with you.  But, seriously, that is all I can do.  What if we split the difference and go 77 for both phones.",3,3,0,0.3661276400089264
347,0,I would like to know more about this chair,0,0,1,0.7041670083999634
348,0,Its a great chair with lots of support. It was made by Herman Miller.,0,0,1,0.4334449768066406
349,0,What condition is this item in,1,1,1,0.7683669924736023
350,0,Great condition! Lightly used.,0,0,1,0.4589366912841797
