,Turn,Text,True,Pred
196,3,"Yes, of course.",0,0
197,3,What are they about?,4,0
198,5,That sounds wonderful!,0,0
199,8,What kind of aid do they give?,4,4
200,9,A couple of organizations claim to do that.,0,0
201,9,Why should I donate to this one in particular?,0,0
202,12,Is there any concrete proof that they do?,3,4
203,12,Words are just words sometimes.,3,0
204,14,I am reviewing the site right now.,0,0
205,14,So what are the amounts for donation accepted?,0,4
206,17,Ok.,0,0
207,17,I'll donate $0.50.,0,0
208,19,"Unfortunately, it is all I can afford at the moment.",0,5
209,21,I'm glad you are fighting for a cause to help others.,0,0
210,21,It is very refreshing to see.,0,0
211,0,yes I do,0,0
212,0,"well, it is a charity work / organisation where they save many children",0,0
213,0,"you're right, it is non-profit organisation.",0,0
214,0,"it is an NGO, yes ofcourse many times I have considered to donate them as per my ability",0,0
215,0,"aw, really ?",0,0
216,0,"well, I'm glad to hear such a good news from this organisation.",0,0
217,0,Education is must for everyone in the world.,0,0
218,0,"Therefore, we could help the children for their livelihood as well as for their education.",0,0
219,0,"we can help them out their physical needs like good cloths, probably orphanage (home to stay)",0,0
220,0,"yes I do, because it is need.",0,0
221,0,"I would love to help them a little bit (as per my ability), it will also helpful for those children to have a better life than the others.",0,0
222,0,as per today's earning is very little I would like to donate 1,0,7
223,0,Can you tell me more about what they do?,4,4
224,0,Sounds like they accomplish great things.,0,0
225,0,Are you thinking of a one time donation?,0,0
226,0,"I see, so I am thinking of donating half.",0,0
227,0,What are your thoughts?,0,1
228,0,I think it is important to do all we can to help children.,0,0
229,0,Are we being selfish by keeping half?,0,3
230,0,That's true.,0,0
231,0,I still haven't decided for sure though.,6,0
232,0,Sometimes I question the actual impact of money donated to charities.,0,3
233,0,I guess so.,0,0
234,0,Have you donated to Save the Children before?,0,0
235,0,"Well, don't feel bad.",0,0
236,0,We will donate today.,0,0
237,0,I propose we stick with our half plan.,0,0
238,0,What do you think?,0,0
239,0,"OK, so that will be one dollar each, right?",0,0
240,0,OK sounds good.,0,0
241,0,You sure?,0,0
242,0,"Right, nice chatting with you.",0,0
243,0,I'm proud of us.,0,0
244,0,I'm proud too.nice working with you.,0,0
245,1,No i have not,0,0
246,2,where are the children from?,4,4
247,4,Do you donate money?,0,1
248,5,that is very true.,0,0
249,5,do you donate often?,0,1
250,6,yeah I try to do that too.,0,0
251,6,It's hard to ensure the money goes to the actual children tho,3,3
252,8,Oh i bet. I would love to hear stories about the children that have been saved,0,0
253,10,does it have a website?,4,4
254,11,what is the website?,0,4
255,13,thanks so much!,0,0
256,15,Yes I would like to conate,0,0
257,16,I would like to donate $10,0,0
258,1,i do very much yes,0,0
259,2,i think we should all care for children,0,0
260,3,Yes I would be interested in doing so,0,0
261,4,Yes that is an amount I feel comfortable with.,0,0
262,5,That is a good charity it makes me happy to donate,0,0
263,6,Thank you for your kind words.,0,0
264,8,I hope my donation helps a lot of people.,0,0
265,9,Yes it is good to try and help in any way possible,0,0
266,10,Helping people makes people feel good,0,0
267,11,It was my pleasure,0,0
268,0,Hello,0,0
269,0,I would like to donate,0,0
270,0,Yes before yes,0,0
271,0,6 dollars is good,0,0
272,0,Because I like children,0,0
273,0,30 or more,0,0
274,0,Yes those children need,0,0
275,0,Yes.,0,0
276,0,I do,0,0
277,0,I would be,0,0
278,0,Like.,0,0
279,0,3 dollars,0,0
280,1,Sure,0,0
281,2,"No, I don't think I have ever heard of that organization.",0,0
282,5,Oh okay.,0,0
283,5,"No, I hadn't ever thought about helping them before.",0,0
284,6,Point taken.,0,0
285,6,It is the least we can do.,0,0
286,6,The money would at least go to a good cause.,0,0
287,8,"Yes, I have.",0,0
288,8,But it's been mostly local church related activities.,0,0
289,9,"Okay, that sounds great!Thanks!",0,0
290,11,I agree.,0,0
291,11,That sounds like a great idea!,0,0
292,11,How much am I allowed to donate?,0,0
293,12,I would like to donate $2 then.Thank you!,0,0
294,14,That wonderful! Is there anything else I need to do?,0,0
295,16,Thank you very much!,0,0
296,1,"Yes, I support a few causes that I personally believe in very much.",0,2
297,2,"Yes, but I don't know a lot about them.",0,0
298,2,What is their mission?,4,4
299,3,That sounds interesting.,0,0
300,3,What countries do they work in?,4,4
301,6,It sounds like it.,0,0
302,6,Do you donate to this charity?,0,0
303,8,Some charities are run better than others.,3,0
304,8,Do you know what Save the Children's reputation is for actually using the money it collects to help children versus for fundraising and administrative salaries?,3,4
305,9,Ok.,0,0
306,9,How long has this group been in operation?,4,4
307,10,What do you like most about this group?,0,0
308,11,That seems worthwhile.,0,0
309,11,Helping children is important.,0,0
310,12,Are you planning to donate today?,0,1
311,14,Good to know.,0,0
312,1,Hi!,0,0
313,2,"Yes, I think that would be accurate.",0,0
314,3,"Yes, I do.",0,0
315,4,I would consider it.,0,0
316,5,I would need to know more about the charity first.,6,4
317,6,How many children do they help annually?,4,4
318,8,I'll check out that website later.,6,6
319,10,They sound like they are a legitimate organization.,0,0
320,12,I don't think I'm quite ready to decide yet though.,6,0
321,13,Just need to investigate them a little more.,6,6
322,1,hello,0,0
323,2,it's going good so far this morning for me.,0,0
324,2,what about you?,0,0
325,3,haha.,0,0
326,3,do you live in the states ?,0,0
327,5,chicago.,0,0
328,5,so what is this about anyway?,0,0
329,5,it says a child's charity.,0,0
330,5,I am lost.,0,0
331,7,it would help to know what childrens charity as well with some information about it.,4,0
332,7,usually thats how you persuade ppl to donate.,4,0
333,7,show a pic of a kid etc.,4,0
334,10,I do not wish to donate.,7,7
335,10,I've been given no info about the charity.,2,0
336,11,"oh ok, who is they?",4,4
337,11,what is the organization ?,4,4
338,12,"no, I do not wish to donate at this time.",7,7
339,12,there are other charities I'd like to donate to over this one.,2,2
340,12,I'm sorry.,0,7
341,12,I don't have a lot to work with either.,2,5
342,14,I don't have much money for myself either which is why I consider this to be my part time job.,5,5
343,14,I already work full-time to make ends meet.,5,5
344,14,I'm sorry,0,7
345,17,that is very sad.,0,0
346,17,I'd like to look into this charity more before I donate as well.,6,6
347,17,I'd like to see how the money is dispersed in the company,6,4
348,1,I would definitely donate because I often donate to charities,0,2
349,2,This is a worthy organization because many children receive some benefits,0,0
350,3,I would donate $10 to this charity,0,0
351,5,ok great-who is the research team?,0,0
352,6,Ok-thanks-I will be waiting to hear from them,0,0
353,7,I have seen information about this organization before,0,0
354,8,"Yes, it is a worthy organization and I do believe that it helps in many substantial ways.",0,0
355,9,The donations to heal and help with health issues is very crucial,0,0
356,10,Yes- the war in Syria had traumatized many children,0,0
357,11,"yes, I think I have told about my donation and now waiting for the conversation to end.Thanks.",0,0
358,1,I am fine.,0,0
359,1,And you?,0,0
360,3,"I have, actually.",0,0
361,4,I'm often skeptical of big charities like that.,3,0
362,4,They sometimes don't put the money that is donated into the right projects.,3,3
363,5,I have just done some quick research and am inclined to donate when I have the opportunity.,0,0
364,5,"If a charity is doing good work to feed the hungry, I will give what I have to spare.",0,0
365,7,"I don't really have anything to give right now, but I will donate at another time when I have steady income.",6,6
366,9,I suppose not.,0,0
367,9,"I mean, a penny is nothing in the grand scheme of things.",0,0
368,9,"If I have a chance to donate when I'm a bit more financially stable, I will donate more.",6,5
369,9,"Right now, I think I can spare a penny. :)",0,0
370,10,Alright.,0,0
371,10,Will the penny be taken from my mturk account?,0,0
372,10,That would be the most convenient thing for me.,0,0
373,13,"Well, thank you for wishing me well.",0,0
374,13,"May your days be pleasant, as well.",0,0
375,14,Warm and rainy here.,0,0
376,15,"Hurricane season is upon us, so I'm keeping a really close eye on that.",0,0
377,1,I have!,0,0
378,1,I think it's a great chairty.,0,0
379,3,"I agree, how frequently do you donate?",0,0
380,5,"Similiar, I only donate when I have the money to spare.",0,0
381,7,"I'm not sure if I want to, but I can give a little.",6,0
382,9,I'll give 5 cents.,0,0
383,10,"Great, I'm glad we're helping a little.",0,0
384,12,"Agreed, which is probably what they want.",0,0
385,14,"oh yeah, absolutely!!",0,0
386,15,"At least you're doing some good, though.",0,0
387,18,Nice talking to you as well.,0,0
388,0,helping children without parents is the most altruistic thing we can do,0,0
389,0,"in my church we help people no matter their age, but children are special for us",0,2
390,0,"That's right, how do you help children?",0,1
391,0,"in one occasion trip to Latin America and there the situation is very sad, many children live in the street without anyone",0,0
392,0,On what foundation can I sponsor?,4,0
393,0,"This is,URL??",4,0
394,0,"yes, I will do it",0,0
395,0,What is my payment?,0,0
396,0,I want to donate everything,0,0
397,0,"you make me feel sad :( it hurts me to see the picture of the children, I want to donate everything",0,0
398,0,"That's right, thanks for showing me the page, I will help many children, today I want to sponsor 3",0,0
399,1,I have thought about it before.,0,0
400,1,I've been approached by people on the street.,0,0
401,3,Is the charity international?,4,4
402,3,Or do they operate primarily in America?,4,4
403,4,What is the purpose of the charity?,4,4
404,6,That's really a great cause.,0,0
405,6,Unfortunately I don't have much money right now to help.,5,5
406,8,I don't know that I can donate a dollar.,6,0
407,8,I've been working really hard to save every dollar that I can to make sure I can pay my bills.,5,5
408,9,I don't know if I'd necessarily feel comfortable donating.,6,6
409,9,I feel like a lot of charities squander the money and don't actually use all the donations for what is promised.,3,3
410,10,Is there anyway that I can be guaranteed the money will go towards what is promised?,4,3
411,11,Are there any other charities I can donate to?,0,4
412,11,Or is it just save the children?,0,4
413,12,Is there any way that I could donate less than a dollar?,0,4
414,12,"I don't want to donate a dollar, but would consider donating something less.",0,0
415,14,I would be willing to donate 5 cents today.,0,0
416,14,"I know it's not a lot, but it's all I'm willing to afford today.",0,5
417,1,Hello Mike I am Pete,0,0
418,2,My life is awesome and your?,0,0
419,3,What do you do for a living?,0,0
420,5,I have heard about it but I do not know wgat they do,0,0
421,6,Thats an awesome labor,0,0
422,8,I think children need help.,0,0
423,9,I will gladly .,0,0
424,12,You are welcome.,0,0
425,12,Children are the futere,0,0
426,14,I am from USA.,0,0
427,14,What about you?,0,0
428,15,Wow .,0,0
429,15,Does Save the children has the offices there?,0,4
430,1,hi,0,0
431,2,definitely I like to help in anyway that I can to help children and animals.,0,0
432,3,it depends.,0,0
433,3,I would like to donate about 0.50 to the charity,0,0
434,4,I feel that donating is an ethical reason to give your tithes and offerings,0,0
435,5,Me 2.,0,0
436,5,Children and Animals are the most precious of God's creations.,0,0
437,6,I agree all the way that they are the best creations of all.,0,0
438,6,And giving a donation is an ethical choice.,0,0
439,6,Any amount I believe is good.,0,0
440,7,yeah me too.,0,0
441,7,I think 0.50 cents is a perfect amount to donate.,0,0
442,8,"Yes, But I donated about 0.20 cents.",0,0
443,8,This time I like to do 0.50 since I also know that the charity is legitimate.,0,0
444,9,I always like to give a small donation of some kind and always believe that others should also.,0,0
445,10,I think it is also the right thing.,0,0
446,1,hello!,0,0
447,1,"pretty good, you?",0,0
448,4,yes please!,0,0
449,4,i was just looking for a charity to donate to,0,0
450,5,what do they support exactly?,4,4
451,5,education?,0,4
452,7,ok thats great.,0,0
453,7,i would like to donate but i dont have a lot of money myself.,5,5
454,7,is $20 okay?,0,0
455,9,i'll donate 20 cents,0,0
456,11,i'm happy with that.,0,0
457,11,i'd donate more but i don't have much myself,5,5
458,14,thanks!,0,0
459,14,i'm glad to help,0,0
460,15,that's amazing!,0,0
461,15,i love that so much of it goes towards the children,0,0
462,17,it definitely is!,0,0
463,18,i like to help since people have helped me,0,0
464,0,"Hello, how are you today?",0,0
465,0,"Ok, please explain, sounds like a wonderful charity",4,0
466,0,I was not aware there were many children in need of help in the US,0,0
467,0,"No, I thought Save The Children was about food distribution to those that are hungry.",0,0
468,0,Interesting.,0,0
469,0,I was unaware.,0,0
470,0,Any child that needs help deserves it.,0,0
471,0,What is your recommendation on how we can help,0,0
472,0,That makes sense.,0,0
473,0,Is there a way to donate other items such as clothes or my time?,2,0
474,0,Ok that is good to know.,0,0
475,0,What was the monetary donation you were seeking?,0,0
476,0,How would this donation be made?,0,0
477,0,Ok that sounds easy enough.,0,0
478,0,"I think I've heard of them, but aren't they religiously affiliated?",4,4
479,0,"I'm all for improving conditions for children in developing countries, but I don't really want money paying for evangelizing.",2,2
480,0,How transparent are they about uses of their funds?,4,3
481,0,Are they well rated by the watchdog groups that keep an eye on non-profits?,4,3
482,0,It's great to hear there are people out there doing such important work.,0,0
483,0,Have you ever donated to them?,1,1
484,0,Really?,0,0
485,0,"I suppose even with the economy being as hard as it is, exchange rates are still good enough to make a real impact.",0,0
486,0,"That's a good point, I think a lot of the times the little things we can do that have really positive impacts kind of get lost in the shuffle.",0,0
487,0,"If I can ask a personal question, how did you make room in your finances to donate?",0,0
488,0,So how did you decide what was right for you?,0,0
489,0,I'm certainly willing to listen.,0,0
490,0,Tell me about Bruce.,0,0
491,0,"That poor girl, being rejected by her own family like that.",0,0
492,0,"I'm glad that Bruce was taken in, though.",0,0
493,0,How did the visit go?,0,0
494,0,That's awesome!,0,0
495,0,He even made it through college.,0,0
496,0,"I can see how he'd be really devoted to the organization, given the impact they had on his life.",0,0
497,0,If only all kids were so lucky.,0,0
498,0,But I guess it takes a lot of work to try to help the ones who need it most,0,0
499,0,I will.,0,0
500,0,"Be the change you want to see in the world, right?",0,0
501,0,"5 dollars buys a latte, and I think it should be easy for me to give up a coffee a month.",0,0
502,0,I bet they have ways to set up recurring donations pretty easily.,0,0
503,1,I am doing well.,0,0
504,1,You?,0,0
505,2,Excellent.,0,0
506,2,Sounds good.,0,0
507,3,OK - what specifically were you thinking about?,0,0
508,4,What about this charity.,0,0
509,4,Are you thinking of donating to it?,1,1
510,5,What do you think I should donate?,0,0
511,7,OK that sounds reasonable.,0,0
512,7,I will agree to donate $0.15 then.,0,0
513,8,OK thanks.,0,0
514,8,I already checked it out and it seems pretty good.,0,0
515,8,Have a great day!,0,0
516,9,You are very welcome.,0,0
517,10,And you likewise to ask.,0,0
518,10,I really appreciate your willingness to go out on a limb.,0,0
519,12,You too.,0,0
520,12,Thanks.,0,0
521,0,Which charity would that be?,0,0
522,0,"I've seen a lot of commercials about them, but never did a lot of research about them.",0,0
523,0,I know some charities only give a small percentage of donations to children and the rest go to their employees wages.,3,0
524,0,Do they?,0,4
525,0,"Thats good, I see they are ready to help out with the hurricane in Hawaii for the kids.",0,0
526,0,Do you regularly try to help the organization yourself?,1,0
527,0,"Yes, I like to help whenever I can when it comes to children.",0,0
528,0,They are helpless.,0,0
529,0,Do you make donations on line or mail it in?,0,0
530,0,"Where, on their website?",0,4
531,0,"Ok, I would like to.",0,0
532,0,Maybe ten dollars I can do.,0,0
533,0,"Ok, I will definitely help out.",0,0
534,1,Hello there,0,0
535,2,"I'm good, how are you?",0,0
536,4,I have not.,0,0
537,4,What do they do?,0,4
538,6,It does.,0,0
539,6,Children are one of the worlds most important assets.,0,0
540,8,Yes.,0,0
541,8,"Children are more deserving in my opinion, because they are unable to care for themselves.",0,0
542,8,They have no choice but to rely on others.,0,0
543,11,"Yes, I usually donate to soldiers or veteran related charities such as Wounded Warrior Project.",0,2
544,14,I would if I had a specific break down or list of what programs the donations support.,4,4
545,19,I don't make a lot.,5,1
546,19,I would have donate a smaller amount.,0,0
547,19,Like a one time donation of 100$ or so.,2,0
548,23,I guess so,0,0
549,26,And you too.,0,0
550,3,I am well today thank you.,0,0
551,3,I would be happy to listen.,0,0
552,5,I do not.,0,0
553,5,What do they do?,4,4
554,7,That sounds like a great cause.,0,0
555,10,I feel very bad for the children in Syria.,0,0
556,10,I can't imagine what they are going through.,0,0
557,10,Helping them is very important as is helping our children here.,0,0
558,12,I agree with that.,0,0
559,12,Does this organization spend the majority of their donations on the cause or are the higher ups lining their pockets?,3,4
560,15,The website says that 86% of funds go to the cause.,0,0
561,15,That's a really good number considering the overhead that must be required for international relief.,0,0
562,18,What are my options for donation?,0,0
563,18,How can I donate and how much?,0,0
564,21,Thank you.,0,0
565,21,I would like to donate $0.30 today.,0,0
566,23,You are very welcome.,0,0
567,23,Thank you for telling me about this organization.,0,0
568,24,You as well.,0,0
569,0,I am how are you doing?,0,0
570,0,"Yes, so I think it is a good idea to donate to the childrens charity.",0,0
571,0,No I am not.,0,0
572,0,Can you tell me about it?,4,4
573,0,What can I do to help?,0,0
574,0,Ok how much do you need?,0,0
575,0,That is awesome but I need the money so I can't afford to give right now.,5,5
576,0,I can't work all day.,5,0
577,0,I have to take care of my disable family member and I really can't afford it.,5,5
578,0,I have 10 cents I can give.,0,0
579,0,Wonderful.,0,0
580,0,I am so happy I can help.,0,0
581,0,What is the website for Save the Children?,4,4
582,2,"I do not, can you tell me some?",4,4
583,4,I would like to donate,0,0
584,5,i would like to donate .05 cents,0,0
585,7,you are welcome,0,0
586,8,I am sure they do.,0,0
587,8,Iit is so imporantant for them,0,0
588,10,wow no i did not,0,0
589,12,that is so sad do you work for the foundation?,0,0
590,13,Its so nice to see more poeple who care about them,0,0
591,14,that is so sad,0,0
592,15,you are very welcome!,0,0
593,0,"Hi, I currently have a children's charity that I sponsor",0,0
594,0,"We sponsor a child in El Salvador, we have been going it a number of years.",0,0
595,0,How about you do you have a favorite charity?,0,0
596,0,what do you know about them are they a good charity?,0,4
597,0,I see - how many years have you been with them,0,0
598,0,"that is a good approach, i have been doing some research on charities",0,0
599,0,well that would be a good but I would want to research them first to make sure they are good but maybe you have already done that,2,0
600,0,that's great maybe we could both donate to them,0,0
601,0,sure can you send it to me,0,0
602,0,Thank you for your time.,0,0
603,1,good morning.,0,0
604,1,I am well thank you and you?,0,0
605,2,Is that the organization that is helping single parents obtain support from absent parents?,4,4
606,3,I have not heard about it.,0,0
607,3,"What do you mean you have gotten to save $100,You are saying it isn't a non profit?",4,3
608,4,I see.,0,0
609,4,What does the organization provide?,4,4
610,4,Is it a non profit?,4,4
611,5,I have heard of Save the Children Fund.,0,0
612,5,"I will be honest, what I had heard though wasnt positive.",3,0
613,6,I typically give to local charities that use the funds to help in the community.,2,2
614,6,I then can see the money at work.,2,0
615,6,I am not saying that world charities are not needed but I rather give to local charities.,2,2
616,7,It is great to be a helpful person.,0,0
617,7,We have a school here in my small town for children from broken homes.,2,0
618,7,I typically give to them.,2,0
619,8,The Children's Hope Alliance in our town provides housing and schooling for children.,2,0
620,8,They are strictly non profit so we give what we can including clothes and books.,2,0
621,9,I know the children are very grateful!,0,0
622,10,this is true.,0,0
623,10,Thank you and have a great day,0,0
624,1,"Yea, hello.",0,0
625,1,Glad you took your time.,0,0
626,3,"No, I do not have kids.",0,0
627,3,What is Save the Children about?,4,4
628,5,That sounds really cool.,0,0
629,5,What specific countries do they help out?,4,4
