,B2,B4,Turn,Unit,er_label_1,ee_label_1,er_label_2,ee_label_2,neg,neu,pos
85,20180723-042421_113_live,1,5,"Sponsorship of a child might be interesting....I'd like to know what my donation is being used for, and that it's actually helping someone.",,positive-reaction-to-donation,,,0,0.81,0.19
86,20180723-042421_113_live,0,6,Child sponsorship works like a way of giving and that connects one compassionate person like you with one child in need.,logical-appeal,,,,0,0.602,0.398
87,20180723-042421_113_live,0,6,"Sponsoring a child gives the chance to grow up healthy, educated and safe ??Â¸??Â¸ forever changing the course of their life and future.",logical-appeal,,,,0,0.714,0.286
88,20180723-042421_113_live,0,6,"You can select a child according to your choice by age, gender",donation-information,,,,0,1,0
89,20180723-042421_113_live,1,6,That is appealing.,,positive-reaction-to-donation,,,0,1,0
90,20180723-042421_113_live,1,6,Does the charity send updates on how the child is doing if I sponsor?,,task-related-inquiry,,,0,0.811,0.189
91,20180723-042421_113_live,0,7,Ya... Definitely they will update you every information about the child you are donating,positive-to-inquiry,,,,0,0.828,0.172
92,20180723-042421_113_live,1,7,How does the sponsorship work?,,task-related-inquiry,,,0,1,0
93,20180723-042421_113_live,1,7,Do I make a monthly donation?,,task-related-inquiry,,,0,1,0
94,20180723-042421_113_live,1,7,I can't afford much.,,negative-reaction-to-donation,,,0,1,0
95,20180723-042421_113_live,1,7,What is the minimum dollar amount?,,ask-donation-procedure,,,0,1,0
96,20180723-042421_113_live,0,8,You can Sponsor a child for just $36 a month,donation-information,,,,0,1,0
97,20180723-042421_113_live,1,8,What do you think?,,task-related-inquiry,,,0,0.576,0.424
98,20180723-042421_113_live,0,9,Ya.. It will definitely work and save the children's future..,logical-appeal,,,,0,0.576,0.424
99,20180723-042421_113_live,1,9,OK. Glad that we came to an agreement.,,positive-reaction-to-donation,,,0,1,0
100,20180723-042421_113_live,1,9,How do we end this task?,,off-task,,,0,1,0
101,20180723-080248_452_live,0,0,Hello!,greeting,,,,0,1,0
102,20180723-080248_452_live,0,0,Ho are you doing today?,greeting,,,,0,1,0
103,20180723-080248_452_live,1,0,"doing fine, what about you",,greeting,,,0,0.69,0.31
104,20180723-080248_452_live,0,1,I'm doing great but i would feel so much better if you let me tell you about one amazing charity,credibility-appeal,,,,0,0.488,0.512
105,20180723-080248_452_live,1,1,go ahead :),,acknowledgement,,,0,0.4,0.6
106,20180723-080248_452_live,1,1,i'm listening,,acknowledgement,,,0,1,0
107,20180723-080248_452_live,0,2,I'm working for Save the Children charity!,other,,,,0,0.443,0.557
108,20180723-080248_452_live,0,2,Have you heard about it?,source-related-inquiry,,,,0,1,0
109,20180723-080248_452_live,1,2,I don't think so.,,negative-to-inquiry,,,0,1,0
110,20180723-080248_452_live,0,3,It's a great charity that helps children i developing countries and they are also currently helping at the US Mexican border to reunite children with their families,credibility-appeal,,,,0,0.642,0.358
111,20180723-080248_452_live,1,3,such an important job!,,positive-reaction-to-donation,,,0,0.589,0.411
112,20180723-080248_452_live,1,3,Tell me more,,ask-org-info,,,0,1,0
113,20180723-080248_452_live,0,4,Sure!,acknowledgement,,,,0,0,1
114,20180723-080248_452_live,0,4,"There was this little boy in Africa, he was only 1 year old and he died of hunger.",emotion-appeal,,,,0.272,0.728,0
115,20180723-080248_452_live,0,4,It breaks my heart,emotion-appeal,,,,0,1,0
116,20180723-080248_452_live,1,4,so sad.,,other,,,0.772,0.228,0
117,20180723-080248_452_live,1,4,How can i help?,,task-related-inquiry,,,0,0.426,0.574
118,20180723-080248_452_live,0,5,i'm glad you asked!,acknowledgement,,,,0,0.477,0.523
119,20180723-080248_452_live,0,5,you can help save children like that boy by donating to Save the Children,proposition-of-donation,,,,0,0.463,0.537
120,20180723-080248_452_live,1,5,how do i know money will go to children and it's not a scam?,,task-related-inquiry,,,0,0.786,0.214
121,20180723-080248_452_live,0,6,This charity is one of the most top rated in the world.,credibility-appeal,,,,0,0.671,0.329
122,20180723-080248_452_live,0,6,You can also check out their website to see for yourself  URL,credibility-appeal,,,,0,1,0
123,20180723-080248_452_live,1,6,"great, let me check it out",,acknowledgement,,,0,0.549,0.451
124,20180723-080248_452_live,0,7,sure!,acknowledgement,,,,0,0,1
125,20180723-080248_452_live,0,7,Take your time.,other,,,,0,1,0
126,20180723-080248_452_live,0,7,I'm here whenever you are ready,other,,,,0,0.667,0.333
127,20180723-080248_452_live,1,7,so i like that 86% is going to the cause.,,positive-reaction-to-donation,,,0,0.741,0.259
128,20180723-080248_452_live,0,8,yes!,acknowledgement,,,,0,0,1
129,20180723-080248_452_live,0,8,You see?,acknowledgement,,,,0,1,0
130,20180723-080248_452_live,0,8,This charity is credible and people who work for it are professionals and have big hearts.,credibility-appeal,,,,0,0.843,0.157
131,20180723-080248_452_live,0,8,would you like to donate and save the children?,proposition-of-donation,,,,0,0.551,0.449
132,20180723-080248_452_live,1,8,I probably will.,,positive-reaction-to-donation,,,0,1,0
133,20180723-080248_452_live,1,8,Is there a minimum i can donate?,,ask-donation-procedure,,,0,1,0
134,20180723-080248_452_live,0,9,you can donate as much as 2$ or as little as couple of cents.,foot-in-the-door,,,,0,1,0
135,20180723-080248_452_live,0,9,I encourage you to donate as much as you can,proposition-of-donation,,,,0,0.708,0.292
136,20180723-080248_452_live,1,9,"hmmm, let me think about it",,neutral-reaction-to-donation,,,0,1,0
137,20180723-100140_767_live,0,0,"You know a lot of children in this world go through hardships, and your destiny is determined on where you are born?",emotion-appeal,,,,0,0.893,0.107
138,20180723-100140_767_live,1,0,I guess that is true.,,acknowledgement,,,0,0.517,0.483
139,20180723-100140_767_live,1,0,I have never thought about destiny being determined by where you are born though.,,other,,,0,0.833,0.167
140,20180723-100140_767_live,0,1,"Yeah, so the chances of being born in the United States are very low, but you and I could have been born in a third world country where children are exploited",emotion-appeal,,,,0.164,0.691,0.145
141,20180723-100140_767_live,1,1,That really is terrible to think about.,,positive-reaction-to-donation,,,0.36,0.64,0
142,20180723-100140_767_live,1,1,We are pretty lucky to have been born in the United States.,,positive-reaction-to-donation,,,0,0.506,0.494
143,20180723-100140_767_live,0,2,"Yes of course, especially when the world is how it is today, and do you remember the debate about Kony in 2012?",task-related-inquiry,,,,0,0.886,0.114
144,20180723-100140_767_live,1,2,I don't really remember much about it but I know the basics,,negative-to-inquiry,,,0,1,0
145,20180723-100140_767_live,0,3,Yeah so people donated money to help children in need.,self-modeling,,,,0,0.62,0.38
146,20180723-100140_767_live,0,3,Would you like to donate money to this charity?,proposition-of-donation,,,,0,0.549,0.451
147,20180723-100140_767_live,0,3,It's called Save The Children and it's really helpful for kids who aren't as lucky as us and are born in countries that are ravaged by war.,credibility-appeal,,,,0.175,0.647,0.177
148,20180723-100140_767_live,1,3,Is this a legit charity?,,ask-org-info,,,0,0.517,0.483
149,20180723-100140_767_live,1,3,Do you have personal experience?,,personal-related-inquiry,,,0,1,0
150,20180723-100140_767_live,0,4,"Yes so what it is is that it's a charity that has international impact, for example where there is lack of support like Syria.",credibility-appeal,,,,0.074,0.581,0.345
151,20180723-100140_767_live,0,4,"In the first two months of 2018, 1,000 children were killed or injured in the violence in Syria.",credibility-appeal,,,,0.43,0.57,0
152,20180723-100140_767_live,0,4,We help with medical costs and funding volunteers.,credibility-appeal,,,,0,0.722,0.278
153,20180723-100140_767_live,1,4,That sounds important.,,positive-reaction-to-donation,,,0,0.526,0.474
154,20180723-100140_767_live,1,4,How much of a donation are you looking for?,,ask-donation-procedure,,,0,1,0
155,20180723-100140_767_live,0,5,"Well I wouldn't ask more than what a candy bar costs, I know we live in hard times right now.",other,,,,0.076,0.811,0.114
156,20180723-100140_767_live,0,5,Anything between 10 to 50 cents helps.,foot-in-the-door,,,,0,0.698,0.302
157,20180723-100140_767_live,1,5,That seems reasonable.,,other,,,0,1,0
158,20180723-100140_767_live,1,5,Yes I would like to make a donation.,,agree-donation,,,0,0.435,0.565
159,20180723-100140_767_live,0,6,"Okay thank you, the charity really appreciates your donation today and thanks you, how much would you like to do?",ask-donation-amount,,thank,,0,0.464,0.536
160,20180723-100140_767_live,1,6,I can $1 today,,provide-donation-amount,,,0,1,0
161,20180723-100140_767_live,0,7,Wow thank you!,thank,,,,0,0.132,0.868
162,20180723-100140_767_live,0,7,Just think of everyone who could donate a dollar and help kids in other countries little by little. You're an awesome person.,logical-appeal,,praise-user,,0,0.744,0.256
163,20180723-100140_767_live,1,7,No problem!,,acknowledgement,,,1,0,0
164,20180723-100140_767_live,1,7,I wish I could do more.,,agree-donation,,,0,0.526,0.474
165,20180723-100140_767_live,0,8,"Maybe next time you hear about the charity, or if someone asks you to donate something, just give a little each time.",foot-in-the-door,,,,0,0.877,0.123
166,20180723-100140_767_live,0,8,It's worth it you know?,other,,,,0,0.678,0.322
167,20180723-100140_767_live,1,8,That is a good idea.,,positive-reaction-to-donation,,,0,0.508,0.492
168,20180723-100140_767_live,1,8,I will also tell others about this charity.,,other,,,0,0.649,0.351
169,20180723-100140_767_live,0,9,Thank you!,thank,,,,0,0.264,0.736
170,20180723-100140_767_live,0,9,Have a great Monday!,closing,,,,0,0.313,0.687
171,20180723-100140_767_live,1,9,Thank you!,,thank,,,0,0.264,0.736
172,20180723-100140_767_live,1,9,You too,,closing,,,0,1,0
173,20180723-100855_385_live,0,0,Hi...,greeting,,,,0,1,0
174,20180723-100855_385_live,0,0,how are you today?,greeting,,,,0,1,0
175,20180723-100855_385_live,0,0,The research team is helping an organization called 'Save the Children'.,credibility-appeal,,,,0,0.625,0.375
176,20180723-100855_385_live,0,0,Have you heard of it?,source-related-inquiry,,,,0,1,0
177,20180723-100855_385_live,1,0,im doing well!,,greeting,,,0,0.455,0.545
178,20180723-100855_385_live,1,0,How about you?,,greeting,,,0,1,0
179,20180723-100855_385_live,1,0,I have heard about it but would love to learn more about it,,positive-to-inquiry,,,0,0.655,0.345
180,20180723-100855_385_live,0,1,Im fine thank you.,greeting,,,,0,0.317,0.683
181,20180723-100855_385_live,0,1,"Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",credibility-appeal,,,,0,0.533,0.467
182,20180723-100855_385_live,1,1,Wow!,,other,,,0,0,1
183,20180723-100855_385_live,1,1,Thats awesome!,,positive-reaction-to-donation,,,0,0.185,0.815
184,20180723-100855_385_live,0,2,Save the Children has a proven track record of using donations efficiently and effectively.,credibility-appeal,,,,0,0.532,0.468
185,20180723-100855_385_live,0,2,There are several children around us who are below poverty line and needed a helping hand.,emotion-appeal,,,,0.159,0.58,0.261
186,20180723-100855_385_live,0,2,It would be great if you can make a contribution from your side for this venture.,logical-appeal,,,,0,0.773,0.227
187,20180723-100855_385_live,1,2,I would love to help in anyway I can.,,positive-reaction-to-donation,,,0,0.42,0.58
188,20180723-100855_385_live,1,2,I wish everyone was equally ok and I know that everybit counts,,positive-reaction-to-donation,,,0,0.62,0.38
189,20180723-100855_385_live,0,3,It is a great relief that there are people like you who still cares.,praise-user,,,,0,0.415,0.585
190,20180723-100855_385_live,1,3,Oh yeah!,,acknowledgement,,,0,0.286,0.714
191,20180723-100855_385_live,1,3,Many people should be like that,,positive-reaction-to-donation,,,0,0.667,0.333
192,20180723-100855_385_live,0,4,"Yes, it may be little as the price of a candy.",logical-appeal,,,,0,0.769,0.231
193,20180723-100855_385_live,0,4,But it still makes the ripple effect in many lives.,logical-appeal,,,,0,1,0
194,20180723-100855_385_live,1,4,How many people are currently donating?,,task-related-inquiry,,,0,1,0
195,20180723-100855_385_live,0,5,42% of their funding is from US.,credibility-appeal,,,,0,1,0
196,20180723-100855_385_live,0,5,"National, State & Local Govs, 20% from UN & Other Multi-Lateral Funding Institutions, 19% from Individuals like you and me, 11% from corporations, 7% from Foundations and 1% from other sources.",credibility-appeal,,,,0,0.918,0.082
197,20180723-100855_385_live,0,5,You can get further details from  URL,credibility-appeal,,,,0,1,0
198,20180723-100855_385_live,1,5,Oh OK!,,acknowledgement,,,0,0.237,0.763
199,20180723-100855_385_live,1,5,I will look into that.,,acknowledgement,,,0,1,0
200,20180723-100855_385_live,1,5,So what do I need to donate?,,ask-donation-procedure,,,0,1,0
201,20180723-100855_385_live,0,6,Your donation will be directly deducted from your task payment.,donation-information,,,,0,1,0
202,20180723-100855_385_live,0,6,You can choose any amount from $0 to all your payment.,donation-information,,,,0,1,0
203,20180723-100855_385_live,1,6,Ok cool!,,acknowledgement,,,0,0,1
204,20180723-100855_385_live,1,6,It's nice to know that people are donating to such a great cause,,positive-reaction-to-donation,,,0,0.592,0.408
205,20180723-100855_385_live,0,7,How much do you like to donate to the charity now?,ask-donation-amount,,,,0,0.629,0.371
206,20180723-100855_385_live,0,7,The research team will collect all donations and send it to Save the Children.,donation-information,,,,0,0.802,0.198
207,20180723-100855_385_live,1,7,Unfortunately I can't donate anything right now,,disagree-donation,,,0.324,0.676,0
208,20180723-100855_385_live,0,8,ohh that is really sad to hear.,other,,,,0.361,0.639,0
209,20180723-100855_385_live,0,8,You can donate as little as you want.,foot-in-the-door,,,,0,0.871,0.129
210,20180723-100855_385_live,0,8,But it will make a huge difference for those in need.,foot-in-the-door,,,,0,0.753,0.247
211,20180723-100855_385_live,1,8,I will keep that in mind.,,positive-reaction-to-donation,,,0,1,0
212,20180723-100855_385_live,1,8,When I get my next paycheck I will go to the website and donate.,,positive-reaction-to-donation,,,0,1,0
213,20180723-100855_385_live,1,8,Thank you for filling me in on information regarding the charity,,thank,,,0,0.629,0.371
214,20180723-100855_385_live,0,9,That is very thoughtful of you.,praise-user,,,,0,0.633,0.367
215,20180723-100855_385_live,0,9,Appreciate your consideration of doing such an act for a greater course.,thank,,,,0,0.634,0.366
216,20180723-100855_385_live,1,9,Of course!,,acknowledgement,,,0,1,0
217,20180723-100855_385_live,1,9,Hope you have an amazing rest of the day,,closing,,,0,0.511,0.489
218,20180808-015530_429_live,0,0,HI I would like to tell you About a childrens charity called Save the CHildren.,task-related-inquiry,,,,0,0.541,0.459
219,20180808-015530_429_live,1,0,ok please do,,positive-to-inquiry,,,0,0.182,0.818
220,20180808-015530_429_live,0,1,"Save the Children is an international non-governmental organization that promotes childrens rights, provides relief and helps support children in developing countries.",credibility-appeal,,,,0,0.533,0.467
221,20180808-015530_429_live,0,1,"Donations are extremely important in order for children to have their rights to healthcare, education, safety, etc",logical-appeal,,,,0,0.754,0.246
222,20180808-015530_429_live,0,1,If you were to donate you would be making a huge impact for these children and on the world,logical-appeal,,,,0,0.881,0.119
223,20180808-015530_429_live,1,1,ok sounds good.,,acknowledgement,,,0,0.164,0.836
224,20180808-015530_429_live,1,1,How much many are we talking and how you want me to pay,,ask-donation-procedure,,,0.102,0.803,0.095
225,20180808-015530_429_live,0,2,THe amount is totally up to you.,donation-information,,,,0,1,0
226,20180808-015530_429_live,0,2,You can choose between $ to all of your payment you will be making by completing this task.,donation-information,,,,0,1,0
227,20180808-015530_429_live,0,2,The amount will be deducted from your task payment.,donation-information,,,,0,1,0
228,20180808-015530_429_live,0,2,Before you say no would you like to hear of some more reason as to why you should donate?,task-related-inquiry,,,,0.101,0.783,0.115
229,20180808-015530_429_live,1,2,how about .50 cents,,provide-donation-amount,,,0,1,0
230,20180808-015530_429_live,0,3,0.50 would surely help these children.,confirm-donation,,,,0,0.417,0.583
231,20180808-015530_429_live,0,3,So then you would be willing to donate 0.50 of the money you earn from completing this taks?,confirm-donation,,,,0,1,0
232,20180808-015530_429_live,1,3,yes I confirm .50,,provide-donation-amount,,,0,0.426,0.574
233,20180808-015530_429_live,0,4,Ok so let me tell you this.,other,,,,0,0.732,0.268
234,20180808-015530_429_live,0,4,0.50 cents would help so much but 0.60 would be even better.,ask-donate-more,,,,0,0.637,0.363
235,20180808-015530_429_live,0,4,Let me tell you why.,other,,,,0,1,0
236,20180808-015530_429_live,0,4,Millians of syrian children have grown up facing the threat of daily violence,emotion-appeal,,,,0.405,0.595,0
237,20180808-015530_429_live,0,4,In 2018 1000 children were killed in violence,emotion-appeal,,,,0.589,0.411,0
238,20180808-015530_429_live,0,4,A donation of 0.60 can address these problems,logical-appeal,,,,0.31,0.69,0
239,20180808-015530_429_live,1,4,ok .60 firm this time,,provide-donation-amount,,,0,0.645,0.355
240,20180808-015530_429_live,0,5,I am so glad you are willing to donate.,thank,,,,0,0.68,0.32
241,20180808-015530_429_live,0,5,"Before you donate I just want u to think about how much money you spend on unnecessary items like eating out, snacks, going out.",logical-appeal,,,,0,0.84,0.16
242,20180808-015530_429_live,0,5,Money can be used in so many more meaningful ways..,logical-appeal,,,,0,0.759,0.241
243,20180808-015530_429_live,0,5,Dont you agree,task-related-inquiry,,,,0.513,0.487,0
244,20180808-015530_429_live,1,5,"Yes but that is a private issue between me and me, not you and me.",,positive-to-inquiry,,,0,0.875,0.125
245,20180808-015530_429_live,0,6,Ok you are correct.,acknowledgement,,,,0,0.577,0.423
246,20180808-015530_429_live,0,6,I was meaning to offend you.,other,,,,0.355,0.645,0
247,20180808-015530_429_live,0,6,I was speaking for all people including myself.,other,,,,0,1,0
248,20180808-015530_429_live,0,6,Lets look at in another way..,other,,,,0,1,0
249,20180808-015530_429_live,0,6,IN 2018 alone 1000 children were reportedly killed or injured in violence.,emotion-appeal,,,,0.624,0.376,0
250,20180808-015530_429_live,0,6,Most of these children have grown up facing the threat of daily violence.,emotion-appeal,,,,0.405,0.595,0
251,20180808-015530_429_live,0,6,YOu donation is going to help address these problems.,logical-appeal,,,,0.218,0.565,0.218
252,20180808-015530_429_live,1,6,.60 still sounds good to me.,,provide-donation-amount,,,0,0.633,0.367
253,20180808-015530_429_live,1,6,Lets leave it at that.,,negative-reaction-to-donation,,,0.231,0.769,0
254,20180808-015530_429_live,0,7,"Thank you I am not trying to get you to donate any more than that, I just want you to realize what a great impact you will be making on the world..",thank,,,,0,0.767,0.233
255,20180808-015530_429_live,0,7,I also want to assure you that Save the Children Makes huge impact on childrens lives internationally.,credibility-appeal,,,,0,0.566,0.434
256,20180808-015530_429_live,0,7,They are extremely professional and your donation will go to a trustable fund.,credibility-appeal,,,,0,0.769,0.231
257,20180808-015530_429_live,0,7,SO one last time how much exactly would you like to donate to the charity now?,ask-donation-amount,,,,0,0.725,0.275
258,20180808-015530_429_live,1,7,.60 firm.,,provide-donation-amount,,,0,1,0
259,20180808-015530_429_live,1,7,Pushiness does not make for a good salesperson.,,negative-reaction-to-donation,,,0.286,0.714,0
260,20180808-015530_429_live,0,8,Im sorry if i am coming off that way.,other,,,,0.157,0.843,0
261,20180808-015530_429_live,0,8,That is not my intention.,other,,,,0,1,0
262,20180808-015530_429_live,0,8,I simply want you to know what a great thing you are doing by donating and that your donation of 0.60 is going to help so many.,logical-appeal,,,,0,0.731,0.269
263,20180808-015530_429_live,0,8,The research team will collect all donations and send it to save the children ..,donation-information,,,,0,0.814,0.186
264,20180808-015530_429_live,0,8,Thank you again,thank,,,,0,0.444,0.556
265,20180808-015530_429_live,0,8,I am sorry i took so much of your time.,other,,,,0.157,0.843,0
266,20180808-015530_429_live,0,8,Your donation of 0.60 will be deducted from your task payment.,donation-information,,,,0,1,0
267,20180808-015530_429_live,1,8,Thank you and I do not want to be rude but I am straight talking person,,thank,,,0.181,0.581,0.238
268,20180808-015530_429_live,0,9,no problem thank you for donation 0.60 to save the children,thank,,,,0.278,0.398,0.324
269,20180808-015530_429_live,0,9,Have a great day,closing,,,,0,0.328,0.672
270,20180808-015530_429_live,1,9,You also have a good day,,closing,,,0,0.58,0.42
271,20180808-024552_152_live,0,0,Hello how are you doing,greeting,,,,0,1,0
272,20180808-024552_152_live,1,0,I'm doing ok,,greeting,,,0,0.476,0.524
